date,classification,trades,total_pnl,total_volume,win_rate,unique_traders
2023-05-01,Greed,3.0,0.0,477.0,,1.0
2023-12-05,Extreme Greed,9.0,0.0,50005.83,,1.0
2023-12-14,Greed,11.0,-205.43473700000007,113203.35,0.6666666666666666,1.0
2023-12-15,Greed,2.0,-24.632033999999997,10609.95,0.0,1.0
2023-12-16,Greed,3.0,0.0,15348.77,,1.0
2023-12-17,Greed,14.0,304.982785,116278.02,0.6363636363636364,1.0
2023-12-18,Greed,2.0,0.0,31164.179999999997,,1.0
2023-12-19,Greed,15.0,1000.5386120000001,91602.40999999999,1.0,1.0
2023-12-20,Greed,18.0,162.732282,141636.79000000004,1.0,1.0
2023-12-21,Greed,49.0,537.211402,125233.97,0.9629629629629629,1.0
2023-12-22,Greed,10.0,141.832675,88874.27999999998,1.0,1.0
2023-12-23,Greed,13.0,146.93670400000002,78438.25,1.0,1.0
2023-12-24,Greed,39.0,1008.619956,402954.94,0.8823529411764706,1.0
2023-12-25,Greed,3.0,-245.081348,59948.51,0.0,1.0
2023-12-27,Greed,28.0,-704.889227,171411.05999999997,0.3076923076923077,1.0
2023-12-28,Greed,23.0,-970.7308760000001,100117.25,0.0,1.0
2023-12-29,Greed,50.0,508.922143,569559.72,0.75,1.0
2023-12-30,Greed,52.0,354.998648,702550.21,0.696969696969697,1.0
2024-01-01,Greed,18.0,-129.53146,264239.52999999997,0.16666666666666666,1.0
2024-01-02,Greed,17.0,783.9791160000001,121348.74,0.8888888888888888,1.0
2024-01-03,Greed,67.0,866.015507,394499.36000000004,0.8,1.0
2024-01-04,Greed,5.0,-67.60364,99792.54000000001,0.0,1.0
2024-01-05,Greed,66.0,164.14156500000004,1703942.66,0.5652173913043478,1.0
2024-01-06,Greed,22.0,135.58166400000002,298521.4,0.8333333333333334,1.0
2024-01-07,Greed,97.0,-835.681235,1048850.06,0.24324324324324326,1.0
2024-01-08,Greed,128.0,-269.87443900000017,1522452.43,0.47761194029850745,1.0
2024-01-09,Extreme Greed,70.0,-826.3498630000001,870051.9699999999,0.6428571428571429,1.0
2024-01-10,Greed,193.0,-1517.0913420000002,2057479.48,0.4939759036144578,1.0
2024-01-11,Extreme Greed,21.0,-164.08950100000004,305314.1,0.5555555555555556,2.0
2024-01-12,Greed,7.0,-1925.519024,200082.27,0.0,1.0
2024-01-15,Neutral,14.0,152.85358,50636.09999999999,1.0,2.0
2024-01-16,Greed,9.0,-2299.171458,116427.33,0.6,2.0
2024-01-17,Greed,53.0,813.2741110000002,800831.03,0.5789473684210527,1.0
2024-01-18,Greed,46.0,68.93319,424631.5299999999,0.3333333333333333,1.0
2024-01-19,Neutral,48.0,-385.41923500000007,428428.97000000003,0.2222222222222222,2.0
2024-01-20,Neutral,106.0,-146.57486999999998,1070090.51,0.46875,1.0
2024-01-21,Greed,11.0,266.581146,103129.74,0.6,1.0
2024-01-22,Greed,85.0,1375.640959,337878.99,0.5609756097560976,2.0
2024-01-23,Neutral,45.0,-369.24472999999944,414518.93000000005,0.55,1.0
2024-01-24,Neutral,68.0,-2808.3538150000004,965084.5900000001,0.25,1.0
2024-01-25,Neutral,6.0,-3093.629385,66566.12999999999,0.0,1.0
2024-01-26,Neutral,5.0,90.2,11773.21,1.0,2.0
2024-01-28,Neutral,11.0,-2478.06972,18109.03,0.0,1.0
2024-01-29,Greed,74.0,486.56254200000006,414208.17999999993,1.0,2.0
2024-01-30,Greed,49.0,-173.65419100000003,401011.37999999995,0.2631578947368421,1.0
2024-01-31,Greed,859.0,-799.8408169999999,6305647.13,0.5298165137614679,1.0
2024-02-01,Greed,6.0,0.0,2008.18,,1.0
2024-02-02,Greed,42.0,456.42347299999994,474278.43,0.6190476190476191,1.0
2024-02-03,Greed,56.0,223.30918699999995,603820.0,0.5,1.0
2024-02-04,Greed,35.0,47.623894999999976,203187.53,0.32142857142857145,1.0
2024-02-05,Greed,72.0,-33.45419400000006,770198.26,0.4375,1.0
2024-02-06,Greed,1088.0,-215.615907,8047153.41,0.3422562141491396,1.0
2024-02-07,Greed,15.0,241.24212,6758.73,1.0,1.0
2024-02-08,Greed,10.0,770.7560239999999,26051.120000000003,1.0,1.0
2024-02-11,Greed,34.0,983.4431759999999,212311.81999999998,1.0,1.0
2024-02-12,Greed,16.0,913.8817869999997,227247.7,0.4,1.0
2024-02-13,Extreme Greed,14.0,559.44389,1999.99,1.0,1.0
2024-02-14,Greed,111.0,3830.599833,320839.88,0.9880952380952381,2.0
2024-02-15,Greed,63.0,1840.7976770000005,185188.03999999995,0.95,2.0
2024-02-16,Greed,182.0,5491.768834,564896.51,1.0,2.0
2024-02-17,Extreme Greed,94.0,1929.6418,406118.0699999999,0.9384615384615385,2.0
2024-02-18,Greed,97.0,477.62483,157048.17000000004,0.8970588235294118,1.0
2024-02-19,Extreme Greed,101.0,4317.768563,286377.19999999995,0.9746835443037974,2.0
2024-02-20,Greed,39.0,3263.6288240000003,119419.71999999999,0.96875,2.0
2024-02-21,Extreme Greed,22.0,1858.7985699999997,108047.52,1.0,2.0
2024-02-22,Greed,88.0,3894.105069999999,373033.87,0.7407407407407407,2.0
2024-02-23,Extreme Greed,143.0,1418.5529299999998,111106.14,0.9927536231884058,1.0
2024-02-25,Greed,5.0,-30.7705,4480.13,0.0,1.0
2024-02-26,Greed,39.0,4416.8473,192187.14,1.0,2.0
2024-02-27,Extreme Greed,63.0,888.511733,209362.3,0.6190476190476191,2.0
2024-02-28,Extreme Greed,45.0,2503.7472349999994,171107.12999999998,1.0,1.0
2024-02-29,Extreme Greed,116.0,9813.996992,395666.73,1.0,2.0
2024-03-01,Extreme Greed,137.0,8244.241409,472974.7,1.0,1.0
2024-03-02,Extreme Greed,31.0,230.90060000000022,63197.55999999999,0.75,2.0
2024-03-03,Extreme Greed,79.0,8361.086245,390745.6800000001,1.0,1.0
2024-03-04,Extreme Greed,300.0,27799.775742,1577996.87,0.9851851851851852,2.0
2024-03-05,Extreme Greed,180.0,19791.026040999997,841810.3200000001,1.0,1.0
2024-03-06,Extreme Greed,82.0,6814.8251390000005,327218.02,1.0,1.0
2024-03-08,Extreme Greed,67.0,4271.886236,183583.18,1.0,1.0
2024-03-09,Extreme Greed,117.0,9949.501623999999,658178.7499999999,0.9065420560747663,1.0
2024-03-10,Extreme Greed,42.0,2482.9272,219973.84999999998,0.7631578947368421,1.0
2024-03-11,Extreme Greed,42.0,3588.179495,176519.45,1.0,1.0
2024-03-12,Extreme Greed,8.0,3039.1659999999997,103040.85,1.0,1.0
2024-03-13,Extreme Greed,7.0,0.0,6000.799999999999,,1.0
2024-03-14,Extreme Greed,18.0,3465.8658319999995,205933.18,1.0,2.0
2024-03-15,Extreme Greed,62.0,6236.513651,351894.41,1.0,3.0
2024-03-16,Extreme Greed,8.0,228.57984,37223.66,1.0,2.0
2024-03-17,Extreme Greed,23.0,503.29395499999987,99506.94999999998,1.0,3.0
2024-03-18,Extreme Greed,19.0,1456.9577,90458.08,1.0,3.0
2024-03-19,Extreme Greed,24.0,668.797973,219884.84000000003,0.7142857142857143,3.0
2024-03-20,Greed,69.0,6423.134599,215705.85,1.0,2.0
